Species,Brood Year,Stream Name,Hatchery Salmon Total,Wild Salmon Total,Number Of Spawners
Chinook,1966,Methow R,0.0,14781.0,14781.0
Chinook,1966,Minam River,0.0,2466.0,2466.0
Chinook,1966,Salmon R Lower Mainstem,0.0,2256.0,2256.0
Chinook,1966,Secesh R,0.0,1533.0,1533.0
Chinook,1966,South Fork Salmon Mainstem,0.0,6792.0,6792.0
Chinook,1966,Sulphur Cr,0.0,2628.0,2628.0
Chinook,1966,Upper Grande Ronde River,0.0,1524.0,1524.0
Chinook,1966,Upper Salmon River Mainstem,0.0,3327.0,3327.0
Chinook,1966,Valley Cr,0.0,3288.0,3288.0
Chinook,1966,Wenaha River,0.0,8016.0,8016.0
Chinook,1966,Wenatchee R,0.0,20154.0,20154.0
Chinook,1966,Wind R,2892.0,0.0,2892.0
Chinook,1966,Yankee Fork Salmon R,0.0,3408.0,3408.0
Chinook,1967,Bear Valley Cr,0.0,4908.0,4908.0
Chinook,1967,Big Cr,0.0,990.0,990.0
Chinook,1967,Camas Cr,0.0,1023.0,1023.0
Chinook,1967,Catherine Creek,0.0,4875.0,4875.0
Chinook,1967,East Fork Salmon River ,0.0,6177.0,6177.0
Chinook,1967,East Fork South Fork Salmon River,0.0,2211.0,2211.0
Chinook,1967,Entiat R,0.0,2358.0,2358.0
Chinook,1967,Imnaha River,0.0,5412.0,5412.0
Chinook,1967,Lemhi R,0.0,4665.0,4665.0
Chinook,1967,Loon Cr,0.0,1224.0,1224.0
Chinook,1967,Lostine/Wallowa,0.0,3318.0,3318.0
Chinook,1967,Marsh Cr,0.0,5079.0,5079.0
Chinook,1967,Methow R,0.0,7863.0,7863.0
Chinook,1967,Minam River,0.0,915.0,915.0
Chinook,1967,Salmon R Lower Mainstem,0.0,2112.0,2112.0
Chinook,1967,Secesh R,0.0,1533.0,1533.0
Chinook,1967,South Fork Salmon Mainstem,0.0,6252.0,6252.0
Chinook,1967,Sulphur Cr,0.0,2481.0,2481.0
Chinook,1967,Upper Grande Ronde River,0.0,2304.0,2304.0
Chinook,1967,Upper Salmon River Mainstem,0.0,4473.0,4473.0
Chinook,1967,Valley Cr,0.0,2709.0,2709.0
Chinook,1967,Wenaha River,0.0,5334.0,5334.0
Chinook,1967,Wenatchee R,0.0,11934.0,11934.0
Chinook,1967,Wind R,822.0,0.0,822.0
Chinook,1967,Yankee Fork Salmon R,0.0,4308.0,4308.0
Chinook,1968,Bear Valley Cr,0.0,5997.0,5997.0
Chinook,1968,Big Cr,0.0,1332.0,1332.0
Chinook,1968,Camas Cr,0.0,1539.0,1539.0
Chinook,1968,Catherine Creek,0.0,2466.0,2466.0
Chinook,1968,East Fork Salmon River ,0.0,6690.0,6690.0
Chinook,1968,East Fork South Fork Salmon River,0.0,984.0,984.0
Chinook,1968,Entiat R,0.0,2358.0,2358.0
Chinook,1968,Imnaha River,0.0,6066.0,6066.0
Chinook,1968,Lemhi R,0.0,3432.0,3432.0
Chinook,1968,Loon Cr,0.0,1008.0,1008.0
Chinook,1968,Lostine/Wallowa,0.0,3456.0,3456.0
Chinook,1968,Marsh Cr,0.0,3636.0,3636.0
Chinook,1968,Methow R,0.0,5874.0,5874.0
Chinook,1968,Minam River,0.0,1971.0,1971.0
Chinook,1968,Salmon R Lower Mainstem,0.0,1290.0,1290.0
Chinook,1968,Secesh R,0.0,633.0,633.0
Chinook,1968,South Fork Salmon Mainstem,0.0,3570.0,3570.0
Chinook,1968,Sulphur Cr,0.0,2628.0,2628.0
Chinook,1968,Upper Grande Ronde River,0.0,3042.0,3042.0
Chinook,1968,Upper Salmon River Mainstem,0.0,7980.0,7980.0
Chinook,1968,Valley Cr,0.0,3207.0,3207.0
Chinook,1968,Wenaha River,0.0,3690.0,3690.0
Chinook,1968,Wenatchee R,0.0,13989.0,13989.0
Chinook,1968,Wind R,801.0,0.0,801.0
Chinook,1968,Yankee Fork Salmon R,0.0,4464.0,4464.0
Chinook,1969,Bear Valley Cr,0.0,4002.0,4002.0
Chinook,1969,Big Cr,0.0,960.0,960.0
Chinook,1969,Camas Cr,0.0,471.0,471.0
Chinook,1969,Catherine Creek,0.0,5646.0,5646.0
Chinook,1969,East Fork Salmon River ,0.0,2844.0,2844.0
Chinook,1969,East Fork South Fork Salmon River,0.0,2106.0,2106.0
Chinook,1969,Entiat R,0.0,1245.0,1245.0
Chinook,1969,Imnaha River,0.0,7602.0,7602.0
Chinook,1969,Lemhi R,0.0,1968.0,1968.0
Chinook,1969,Loon Cr,0.0,822.0,822.0
Chinook,1969,Lostine/Wallowa,0.0,2742.0,2742.0
Chinook,1969,Marsh Cr,0.0,1731.0,1731.0
Chinook,1969,Methow R,0.0,4215.0,4215.0
Chinook,1969,Minam River,0.0,2793.0,2793.0
Chinook,1969,Salmon R Lower Mainstem,0.0,693.0,693.0
Chinook,1969,Secesh R,0.0,1137.0,1137.0
Chinook,1969,South Fork Salmon Mainstem,0.0,4407.0,4407.0
Chinook,1969,Sulphur Cr,0.0,2556.0,2556.0
Chinook,1969,Upper Grande Ronde River,0.0,3086.0,3086.0
Chinook,1969,Upper Salmon River Mainstem,0.0,4047.0,4047.0
Chinook,1969,Valley Cr,0.0,465.0,465.0
Chinook,1969,Wenaha River,0.0,7326.0,7326.0
Chinook,1969,Wenatchee R,593.85,11283.15,11877.0
Chinook,1969,Wind R,87.0,0.0,87.0
Chinook,1969,Yankee Fork Salmon R,0.0,759.0,759.0
Chinook,1970,Bear Valley Cr,0.0,3609.0,3609.0
Chinook,1970,Big Cr,0.0,1005.0,1005.0
Chinook,1970,Camas Cr,0.0,459.0,459.0
Chinook,1970,Catherine Creek,0.0,2976.0,2976.0
Chinook,1970,East Fork Salmon River ,0.0,4758.0,4758.0
